,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,Feature,Start long,Start circ,End long,End circ
,,,,,,1,415,420,501,450
,,,,,,2,635,0,693,50
,,,,,,3,836,400,892,445
,,,,,,4,742,764,776,796
,,,,,,5,1167,407,1242,481
,,,,,,6,1351,409,1442,463
,,,,,,7,1631,760,1696,723
,,,,,,8,1692,450,1917,500
,,,,,,9,2116,756,2189,812
,,,,,,10,2139,616,2176,653
,,,,,,11,2257,409,2359,456
,,,,,,12,2535,179,2577,221
,,,,,,13,2641,404,2704,450
,,,,,,14,2812,350,2870,390
,,,,,,15,3206,30,3285,88
,,,,,,16,3223,797,3260,820
,,,,,,17,3306,464,3374,450
,,,,,,18,3442,450,3526,504
,,,,,,19,3500,28,3571,100
,,,,,,20,3864,416,3964,460
